user_id,zone_date,zone_score,zone_focus,zone_calm,zone_posture,create_date,update_date
tamabi001,2016/05/17 15:26:00,,23,22,63,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:27:00,,40,5,58,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:28:00,,19,19,73,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:29:00,,48,33,70,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:30:00,,37,78,58,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:31:00,,30,42,73,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:32:00,,31,65,72,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:33:00,,20,33,74,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:34:00,,23,67,71,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:35:00,,27,52,73,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:36:00,,22,55,75,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:37:00,,21,73,75,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:38:00,,19,61,69,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:39:00,,30,54,77,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:40:00,,27,62,72,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:41:00,,23,80,71,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:42:00,,46,22,67,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:43:00,,63,12,70,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:44:00,,46,11,65,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:45:00,,54,0,55,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:46:00,,63,14,63,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:47:00,,61,12,57,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:48:00,,50,68,71,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:49:00,,42,58,63,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:50:00,,68,0,55,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:51:00,,52,50,53,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:52:00,,17,64,54,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:53:00,,21,50,67,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:54:00,,16,40,77,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:55:00,,15,52,81,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:56:00,,26,26,60,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:57:00,,52,18,56,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:58:00,,76,62,36,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 15:59:00,,27,38,43,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:00:00,,71,16,50,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:01:00,,58,33,61,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:02:00,,30,44,65,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:03:00,,29,49,75,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:04:00,,31,26,78,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:05:00,,34,69,77,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:06:00,,34,63,77,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:07:00,,33,3,66,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:08:00,,30,38,61,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:09:00,,42,9,63,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:10:00,,44,17,65,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:11:00,,63,2,62,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:12:00,,61,4,36,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:13:00,,100,0,61,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:14:00,,61,2,78,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:15:00,,29,28,42,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:16:00,,58,27,58,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:19:00,,8,4,51,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:20:00,,22,4,61,2016/05/17 16:23:29,2016/05/17 16:23:29
tamabi001,2016/05/17 16:26:00,,7,37,55,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:27:00,,10,40,72,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:28:00,,12,33,52,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:29:00,,12,28,60,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:30:00,,55,57,57,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:32:00,,15,46,65,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:33:00,,32,64,65,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:34:00,,66,44,58,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:35:00,,29,60,67,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:36:00,,61,32,72,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:37:00,,85,17,66,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:38:00,,34,50,67,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:39:00,,96,40,54,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:40:00,,100,0,71,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:41:00,,100,0,76,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:42:00,,100,0,78,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:43:00,,51,0,82,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:46:00,,12,0,76,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:49:00,,5,0,63,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:50:00,,13,5,73,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:51:00,,75,0,67,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:52:00,,40,23,49,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:53:00,,89,78,39,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:54:00,,100,78,47,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:55:00,,20,0,69,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:56:00,,82,0,79,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:57:00,,100,0,85,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:58:00,,90,8,76,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 16:59:00,,7,40,59,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:00:00,,39,36,63,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:01:00,,66,2,63,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:02:00,,52,19,79,2016/05/17 17:23:29,2016/05/17 17:23:29
tamabi001,2016/05/17 17:03:00,,68,46,81,2016/05/17 17:23:29,2016/05/17 17:23:29
