EOGNoiseDuration,blinkIntervalAvg,blinkIntervalMax,blinkSpeed,blinkSpeedStd,blinkStrength,blinkStrengthMax,blinkStrengthMin,bodyMoveVertical,cadence,capturedAt,eyeMoveBigHorizontal,eyeMoveBigVertical,eyeMoveHorizontal,eyeMoveVertical,fitError,focus,footholdLeft,footholdRight,numBlinkBurst,numBlinks,numSteps1000,numSteps280,numSteps310,numSteps340,numSteps370,numSteps400,numSteps430,numSteps460,numSteps500,numSteps530,numSteps560,numSteps590,numSteps620,numSteps650,numSteps680,numSteps710,numSteps750,numSteps780,numSteps810,numSteps840,numSteps870,numSteps900,numSteps930,numSteps960,numStoredData,pitchAvg,pitchDiff,powerLeft,rollAvg,rollDiff,sittingPostureIndex1,sittingPostureIndex2,sittingPostureIndex3,sleepy
4,5226.667,11580,156,7,97,163,35,,0,"Tue, 17 May 2016 13:22:00 +0900",4.285715,26.78571,12.85714,47.14286,0,2,0,0,0,9.642857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,5,0,0,25,25,25,1
24,2550,2550,175,41,109,159,41,,0,"Tue, 17 May 2016 13:23:00 +0900",8.333334,20,10,46.66667,0,2,0,0,6.666667,23.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,0,25,11,0,1
27,1402.5,1402.5,164,42,93,191,41,,0,"Tue, 17 May 2016 13:24:00 +0900",1.818182,25.45455,12.72727,30.90909,0,0,0,0,14.54545,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,0,12,1,1,0
25,2152.5,2152.5,164,32,128,195,33,,0,"Tue, 17 May 2016 13:25:00 +0900",3.428571,34.28572,13.71429,32.57143,0,0,0,0,3.428571,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0,12,11,12,0
14,2016.333,2016.333,154,44,93,187,38,,0,"Tue, 17 May 2016 13:26:00 +0900",22.17391,35.21739,22.17391,43.04348,0,2,0,0,13.04348,28.69565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,24,11,0,1
13,2326.5,2326.5,178,53,102,183,37,,0,"Tue, 17 May 2016 13:27:00 +0900",10.21277,40.85106,17.87234,28.08511,0,1,0,0,5.106383,24.25532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,6,12,1,1
23,1831.5,1831.5,176,51,113,229,38,,0,"Tue, 17 May 2016 13:28:00 +0900",6.486486,11.35135,9.72973,47.02703,0,1,0,0,8.108108,32.43243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,1,1,1,1
24,2430,2430,148,20,112,153,51,,0,"Tue, 17 May 2016 13:29:00 +0900",3.333333,11.66667,15,36.66667,0,0,0,0,5,23.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,1,12,0,0
0,0,0,210,0,38,38,38,,0,"Tue, 17 May 2016 13:30:00 +0900",1,1,1,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,25,25,0,3
0,0,0,310,0,63,63,63,,0,"Tue, 17 May 2016 13:31:00 +0900",4,7,5,49,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,25,25,25,3
1,16087.33,35240,138,23,66,94,46,,0,"Tue, 17 May 2016 13:32:00 +0900",3.050847,12.20339,9.152542,56.94915,0,2,0,0,0,4.067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,25,12,12,3
10,3508.333,12820,170,34,92,124,46,,0,"Tue, 17 May 2016 13:33:00 +0900",0,6,0,54,0,3,0,0,3.6,9.599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,6,1,25,2
6,20484,34400,173,40,100,133,66,,0,"Tue, 17 May 2016 13:34:00 +0900",0,13.33333,4.444445,20,0,2,0,0,0,3.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,6,12,6,2
26,14382,14382,165,15,89,97,80,,0,"Tue, 17 May 2016 13:35:00 +0900",3.529412,31.76471,8.82353,28.23529,0,2,0,0,0,3.529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,12,21,0,1
0,3330,9850,201,69,78,180,36,,0,"Tue, 17 May 2016 13:39:00 +0900",11,17,37,76,0,2,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,10,11,11,2
0,0,0,230,0,42,42,42,,0,"Tue, 17 May 2016 13:40:00 +0900",8,4,17,76,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,12,11,11,3
19,3327.833,3327.833,150,31,69,145,35,,0,"Tue, 17 May 2016 13:41:00 +0900",14.63415,19.02439,16.09756,64.39024,0,2,0,0,4.390244,13.17073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,6,0,25,1
34,3228.333,3228.333,150,19,140,241,96,,0,"Tue, 17 May 2016 13:42:00 +0900",4.615385,18.46154,2.307692,32.30769,0,2,0,0,2.307692,16.15385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,12,6,11,2
40,1293.333,1293.333,182,61,152,306,58,,0,"Tue, 17 May 2016 13:43:00 +0900",6,33,15,24,0,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,25,12,12,0
25,1674.167,1674.167,176,61,91,190,34,,0,"Tue, 17 May 2016 13:44:00 +0900",5.142857,22.28572,8.571429,37.71429,0,0,0,0,6.857143,27.42857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,12,12,23,0
24,4980,4980,161,31,100,157,45,,0,"Tue, 17 May 2016 13:45:00 +0900",8.333334,30,8.333334,58.33333,0,0,0,0,1.666667,11.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,12,12,12,0
16,2654.667,2654.667,190,63,72,165,32,,0,"Tue, 17 May 2016 13:46:00 +0900",8.181818,30,8.181818,46.36364,0,2,0,0,9.545454,23.18182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,11,12,12,1
29,2428.333,2428.333,179,85,106,248,39,,0,"Tue, 17 May 2016 13:47:00 +0900",3.870968,54.19355,19.35484,29.03226,0,2,0,0,0,23.22581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,12,11,1
21,3282.5,3282.5,201,62,93,132,48,,0,"Tue, 17 May 2016 13:48:00 +0900",10.76923,27.69231,6.153846,43.07692,0,0,0,0,4.615385,15.38462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,17,11,0
23,2331,2331,149,13,97,146,40,,0,"Tue, 17 May 2016 13:49:00 +0900",3.243243,6.486486,3.243243,48.64865,0,0,0,0,6.486486,24.32432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,21,17,0
20,2860,2860,194,77,112,185,33,,0,"Tue, 17 May 2016 13:50:00 +0900",7.5,13.5,10.5,39,0,1,0,0,1.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,17,1,1
26,2612.333,2612.333,161,34,139,223,40,,0,"Tue, 17 May 2016 13:51:00 +0900",3.529412,7.058824,3.529412,49.41177,0,1,0,0,5.294118,21.17647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,11,12,1
18,1540,1540,162,34,131,232,75,,0,"Tue, 17 May 2016 13:52:00 +0900",5.714286,12.85714,8.571429,40,0,1,0,0,18.57143,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,12,1,2
9,3281,14200,170,39,105,197,52,,0,"Tue, 17 May 2016 13:53:00 +0900",1.176471,10.58824,7.058824,49.41177,0,3,0,0,4.705883,18.82353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,17,11,1
18,1771,1771,180,59,114,180,51,,0,"Tue, 17 May 2016 13:54:00 +0900",2.857143,27.14286,8.571429,38.57143,0,2,0,0,11.42857,27.14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,17,6,2
8,4168.667,13540,151,12,85,121,58,,0,"Tue, 17 May 2016 13:55:00 +0900",1.153846,3.461539,6.923077,63.46154,0,3,0,0,1.153846,12.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,6,17,1
18,1498,1498,163,18,130,399,36,,0,"Tue, 17 May 2016 13:56:00 +0900",2.857143,15.71429,1.428571,27.14286,0,1,0,0,14.28571,38.57143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,12,12,2
30,1895,1895,167,48,73,129,32,,0,"Tue, 17 May 2016 13:57:00 +0900",8,14,0,38,0,1,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,12,11,2
1,3313.833,21540,207,61,62,137,36,,0,"Tue, 17 May 2016 13:58:00 +0900",0,19.32203,6.101695,65.08475,0,3,0,0,3.050847,15.25424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,2
31,2904.833,2904.833,185,65,94,137,36,,0,"Tue, 17 May 2016 13:59:00 +0900",10.34483,31.03448,4.137931,31.03448,0,0,0,0,6.206897,16.55172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,6,17,12,0
33,1345.5,1345.5,155,8,132,183,102,,0,"Tue, 17 May 2016 14:00:00 +0900",11.11111,26.66667,24.44444,20,0,0,0,0,11.11111,33.33334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,12,17,12,0
15,1470,1470,170,52,126,227,35,,0,"Tue, 17 May 2016 14:01:00 +0900",2.666667,20,12,29.33333,0,1,0,0,17.33333,41.33334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,12,17,17,0
31,1309.833,1309.833,156,10,154,236,81,,0,"Tue, 17 May 2016 14:02:00 +0900",4.137931,8.275862,8.275862,33.10345,0,1,0,0,16.55172,37.24138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,12,17,12,0
19,1783.5,1783.5,163,44,128,212,35,,0,"Tue, 17 May 2016 14:03:00 +0900",13.17073,21.95122,5.853658,38.04878,0,1,0,0,11.70732,33.65854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,17,22,17,0
22,1330,1330,163,44,138,211,52,,0,"Tue, 17 May 2016 14:04:00 +0900",9.473684,17.36842,12.63158,26.8421,0,1,0,0,22.10526,45.78947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,17,22,11,2
17,2902.5,2902.5,170,55,118,170,44,,0,"Tue, 17 May 2016 14:05:00 +0900",23.72093,30.69767,22.32558,25.11628,0,1,0,0,4.186047,20.93023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,12,11,25,2
23,2522.167,2522.167,174,50,106,204,47,,0,"Tue, 17 May 2016 14:06:00 +0900",12.97297,30.81081,22.7027,38.91892,0,1,0,0,3.243243,24.32432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,11,12,12,2
17,2257.5,2257.5,159,49,92,173,30,,0,"Tue, 17 May 2016 14:07:00 +0900",11.16279,18.13953,19.53488,62.7907,0,1,0,0,5.581395,23.72093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,12,6,25,1
15,1792.5,1792.5,179,68,76,157,33,,0,"Tue, 17 May 2016 14:08:00 +0900",18.66667,28,18.66667,36,0,2,0,0,2.666667,14.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,12,6,2
28,2021.333,2021.333,181,62,80,135,60,,0,"Tue, 17 May 2016 14:09:00 +0900",9.375,20.625,7.5,56.25,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,7,12,2
22,1722.667,1722.667,188,75,74,106,42,,0,"Tue, 17 May 2016 14:10:00 +0900",4.736842,20.52632,6.31579,52.10526,0,0,0,0,4.736842,25.26316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,17,12,0
25,3739.167,3739.167,150,16,77,103,47,,0,"Tue, 17 May 2016 14:11:00 +0900",12,34.28572,18.85714,37.71429,0,0,0,0,3.428571,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,17,17,0
37,1698.167,1698.167,190,77,98,182,40,,0,"Tue, 17 May 2016 14:12:00 +0900",13.04348,31.30435,7.826087,20.86957,0,0,0,0,10.43478,31.30435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,6,11,0
29,1415.667,1415.667,165,59,116,219,35,,0,"Tue, 17 May 2016 14:13:00 +0900",13.54839,17.41935,15.48387,29.03226,0,0,0,0,21.29032,42.58064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,11,12,0
26,1569.667,1569.667,172,42,125,235,30,,0,"Tue, 17 May 2016 14:14:00 +0900",12.35294,35.29412,22.94118,33.52941,0,0,0,0,15.88235,31.76471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,12,6,0
39,1568,1568,206,79,143,245,42,,0,"Tue, 17 May 2016 14:15:00 +0900",17.14286,45.71429,28.57143,14.28571,0,0,0,0,11.42857,37.14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,11,12,0
18,1876,1876,206,85,88,169,30,,0,"Tue, 17 May 2016 14:16:00 +0900",7.142857,25.71429,14.28571,25.71429,0,1,0,0,7.142857,28.57143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,1
4,3210.667,10290,162,38,77,125,35,,0,"Tue, 17 May 2016 14:17:00 +0900",0,16.07143,0,46.07143,0,3,0,0,3.214286,9.642857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,1,1
4,8848,10540,260,71,59,76,42,,0,"Tue, 17 May 2016 14:18:00 +0900",0,16.07143,2.142857,42.85714,0,2,0,0,0,3.214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,3
4,4564,14350,195,80,83,152,36,,0,"Tue, 17 May 2016 14:19:00 +0900",0,25.71429,7.5,24.64286,0,3,0,0,1.071429,11.78571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,2
20,6213.333,6213.333,183,33,67,80,54,,0,"Tue, 17 May 2016 14:20:00 +0900",0,12,9,37.5,0,2,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,6,6,3
14,5535.333,5535.333,174,41,101,168,37,,0,"Tue, 17 May 2016 14:21:00 +0900",0,23.47826,3.913043,40.43478,0,2,0,0,0,10.43478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1,11,1
34,2847,2847,200,46,103,154,39,,0,"Tue, 17 May 2016 14:22:00 +0900",2.307692,48.46154,4.615385,23.07692,0,2,0,0,0,11.53846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,2
25,2951.667,2951.667,157,33,82,139,39,,0,"Tue, 17 May 2016 14:23:00 +0900",3.428571,46.28571,8.571429,17.14286,0,0,0,0,3.428571,17.14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,6,1,0
55,560,560,345,55,148,216,79,,108,"Tue, 17 May 2016 14:24:00 +0900",0,24,0,24,0,0,58,61,0,24,0,0,0,0,0,0,3,3,11,9,5,7,5,8,0,1,1,2,1,0,0,0,0,0,0,-5.3,4.67,5,2,4,7,22,1,0
37,1184.5,1184.5,178,49,95,216,44,,122,"Tue, 17 May 2016 14:25:00 +0900",7.826087,39.13044,23.47826,28.69565,0,0,56,59,0,20.86957,0,0,1,3,2,2,1,9,7,6,4,5,4,0,1,0,0,0,0,1,0,0,1,0,0,-1.29,6.29,5,1.12,4.54,11,7,12,0
55,644.1667,644.1667,133,54,118,207,63,,106,"Tue, 17 May 2016 14:26:00 +0900",0,48,12,12,0,0,58,57,36,84,1,0,0,0,0,0,2,7,9,10,10,12,10,6,6,1,1,1,0,0,0,0,0,0,0,-4.08,3.54,5,4.29,3.8,17,12,12,0
29,3038,3038,182,34,64,94,41,,0,"Tue, 17 May 2016 14:27:00 +0900",9.677419,50.32258,19.35484,23.22581,0,0,0,0,1.935484,17.41935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,12,6,0
5,2502.5,7330,174,55,71,126,38,,0,"Tue, 17 May 2016 14:28:00 +0900",2.181818,24,12,46.90909,0,1,0,0,5.454545,21.81818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,12,1
6,3402,10290,194,60,71,126,36,,0,"Tue, 17 May 2016 14:29:00 +0900",1.111111,26.66667,10,56.66666,0,2,0,0,3.333333,14.44444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,1
17,3891.5,3891.5,188,98,89,110,68,,0,"Tue, 17 May 2016 14:30:00 +0900",0,36.27907,8.372093,44.65116,0,2,0,0,4.186047,8.372093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,1
33,5341.5,5341.5,198,110,83,123,45,,0,"Tue, 17 May 2016 14:31:00 +0900",2.222222,28.88889,11.11111,35.55556,0,2,0,0,4.444445,11.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,22,16,11,1
24,6096,6096,213,87,63,115,39,,0,"Tue, 17 May 2016 14:32:00 +0900",1.666667,15,1.666667,38.33333,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,12,17,0
34,5997.333,5997.333,183,41,54,64,45,,0,"Tue, 17 May 2016 14:33:00 +0900",2.307692,30,6.923077,55.38462,0,0,0,0,2.307692,9.230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,11,12,0
16,7685.333,7685.333,173,32,43,59,35,,0,"Tue, 17 May 2016 14:34:00 +0900",1.363636,32.72727,2.727273,64.09091,0,2,0,0,0,5.454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,6,6,1
8,4099.333,9130,217,65,71,94,36,,0,"Tue, 17 May 2016 14:35:00 +0900",1.153846,26.53846,0,61.15384,0,2,0,0,0,10.38462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,12,2,1
15,3000,3000,213,73,52,80,32,,0,"Tue, 17 May 2016 14:36:00 +0900",5.333333,22.66667,4,38.66667,0,2,0,0,4,17.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,3
15,2707.5,2707.5,192,55,65,93,43,,0,"Tue, 17 May 2016 14:37:00 +0900",0,37.33334,9.333334,34.66667,0,2,0,0,5.333333,17.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,17,6,1
9,3876,11110,185,62,82,147,54,,0,"Tue, 17 May 2016 14:38:00 +0900",1.176471,32.94118,8.235294,35.29412,0,2,0,0,3.529412,15.29412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,1
13,3407.5,3407.5,176,74,65,105,32,,0,"Tue, 17 May 2016 14:39:00 +0900",5.106383,19.14894,3.829787,42.12766,0,1,0,0,1.276596,17.87234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,2,1
6,5940,17010,178,53,85,136,44,,0,"Tue, 17 May 2016 14:40:00 +0900",0,13.33333,3.333333,55.55555,0,2,0,0,1.111111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,6,6,1
11,4205.833,4205.833,187,53,75,132,36,,0,"Tue, 17 May 2016 14:41:00 +0900",2.44898,18.36735,9.795918,45.30612,0,2,0,0,1.22449,14.69388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,11,6,1
3,10098.5,30160,213,110,36,43,31,,0,"Tue, 17 May 2016 14:42:00 +0900",1.052632,4.210526,0,56.84211,0,2,0,0,1.052632,4.210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,6,6,1
6,5103,19250,171,78,77,128,47,,0,"Tue, 17 May 2016 14:43:00 +0900",0,22.22222,5.555555,51.11111,0,3,0,0,3.333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,11,6,1
