EOGNoiseDuration,blinkIntervalAvg,blinkIntervalMax,blinkSpeed,blinkSpeedStd,blinkStrength,blinkStrengthMax,blinkStrengthMin,bodyMoveVertical,cadence,capturedAt,eyeMoveBigHorizontal,eyeMoveBigVertical,eyeMoveHorizontal,eyeMoveVertical,fitError,focus,footholdLeft,footholdRight,numBlinkBurst,numBlinks,numSteps1000,numSteps280,numSteps310,numSteps340,numSteps370,numSteps400,numSteps430,numSteps460,numSteps500,numSteps530,numSteps560,numSteps590,numSteps620,numSteps650,numSteps680,numSteps710,numSteps750,numSteps780,numSteps810,numSteps840,numSteps870,numSteps900,numSteps930,numSteps960,numStoredData,pitchAvg,pitchDiff,powerLeft,rollAvg,rollDiff,sittingPostureIndex1,sittingPostureIndex2,sittingPostureIndex3,sleepy
1,1573.333,5320,168,37,106,142,53,,0,"Tue, 17 May 2016 13:12:00 +0900",6.101695,5.084746,16.27119,35.59322,0,3,0,0,4.067797,8.135593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,4,10,10,0
10,2116.667,13400,182,86,90,177,31,,0,"Tue, 17 May 2016 13:13:00 +0900",12,12,49.2,84,0,3,0,0,9.599999,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,15,12,25,0
11,2033.5,2033.5,149,18,112,172,36,,0,"Tue, 17 May 2016 13:14:00 +0900",7.346939,4.897959,11.02041,56.32653,0,2,0,0,7.346939,18.36735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,12,12,0
12,1856,1856,162,35,110,172,43,,0,"Tue, 17 May 2016 13:15:00 +0900",0,22.5,11.25,43.75,0,1,0,0,13.75,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,7,12,1
6,1269,4290,159,32,94,210,34,,0,"Tue, 17 May 2016 13:16:00 +0900",6.666667,21.11111,21.11111,44.44444,0,2,0,0,22.22222,42.22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,5,0,0,12,6,25,0
22,1418.667,1418.667,178,54,101,188,32,,0,"Tue, 17 May 2016 13:17:00 +0900",18.94737,41.05263,18.94737,23.68421,0,2,0,0,17.36842,37.89474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,5,0,0,6,2,1,0
26,2958,2958,166,42,54,98,34,,0,"Tue, 17 May 2016 13:18:00 +0900",3.529412,22.94118,5.294118,45.88235,0,0,0,0,7.058824,19.41177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,0,6,6,6,0
25,3155.833,3155.833,169,44,74,139,49,,0,"Tue, 17 May 2016 13:19:00 +0900",12,29.14286,15.42857,53.14286,0,0,0,0,6.857143,18.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,6,1,5,0
9,4046,14670,154,13,72,148,34,,0,"Tue, 17 May 2016 13:20:00 +0900",11.76471,35.29412,24.70588,55.29412,0,3,0,0,3.529412,11.76471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,5,0,0,7,0,25,0
16,1848,1848,179,56,89,163,40,,0,"Tue, 17 May 2016 13:21:00 +0900",2.727273,25.90909,17.72727,40.90909,0,1,0,0,13.63636,32.72727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,17,25,25,2
