user_id,zone_date,zone_focus,zone_calm,zone_posture,create_date,update_date
inte_morimoto2,2016/04/28 18:36:00,34,13,17,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:37:00,53,3,25,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:38:00,53,3,54,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:39:00,43,15,58,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:40:00,47,15,54,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:41:00,22,28,23,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:42:00,21,28,28,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:43:00,33,43,37,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:44:00,29,34,56,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:45:00,47,27,61,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:46:00,47,19,24,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:47:00,54,21,37,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:48:00,30,49,39,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:49:00,46,50,49,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:50:00,31,38,62,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:51:00,29,29,75,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:52:00,30,26,77,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:53:00,44,32,59,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:54:00,35,31,40,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:55:00,61,9,55,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:56:00,60,1,52,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:57:00,56,10,66,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:58:00,30,16,58,26:13.0,26:13.0
inte_morimoto2,2016/04/28 18:59:00,48,13,71,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:00:00,31,9,61,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:01:00,34,12,65,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:02:00,45,2,57,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:03:00,36,14,34,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:04:00,65,0,46,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:05:00,56,64,39,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:06:00,36,68,53,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:07:00,39,56,63,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:08:00,38,23,59,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:09:00,72,30,38,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:10:00,43,9,50,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:11:00,46,22,61,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:12:00,34,73,11,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:13:00,54,25,45,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:14:00,41,13,38,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:15:00,35,41,39,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:16:00,37,35,60,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:17:00,35,30,73,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:18:00,32,22,76,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:19:00,44,22,83,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:20:00,38,38,77,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:21:00,37,63,82,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:22:00,24,49,80,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:23:00,32,40,82,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:24:00,33,18,87,26:13.0,26:13.0
inte_morimoto2,2016/04/28 19:25:00,53,20,84,26:13.0,26:13.0
