東京	0	0	418184
品川	202.5	-86	474025
渋谷	86	-202.5	924572
新宿	-31.2	-197.5	1359645
高田馬場	-91.2	-181	339729
池袋	-175.5	-163.7	1027813
日暮里	-179.8	9.4	150316
北千住	-292.3	130.2	461693
上野	-116.4	29	182469
秋葉原	-57.4	17.5	302788
錦糸町	-62.5	147.3	103548
